timestamp, power.draw [W]
2026/02/22 02:16:12.760, 26.15 W
2026/02/22 02:16:13.760, 26.19 W
2026/02/22 02:16:14.761, 26.28 W
2026/02/22 02:16:15.761, 26.35 W
2026/02/22 02:16:16.761, 26.36 W
2026/02/22 02:16:17.761, 26.06 W
2026/02/22 02:16:18.761, 26.22 W
2026/02/22 02:16:19.761, 26.17 W
2026/02/22 02:16:20.761, 26.25 W
2026/02/22 02:16:21.762, 26.26 W
2026/02/22 02:16:22.762, 26.41 W
2026/02/22 02:16:23.762, 26.12 W
2026/02/22 02:16:24.762, 25.94 W
2026/02/22 02:16:25.762, 26.13 W
2026/02/22 02:16:26.762, 26.06 W
